baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000056413.16	486.367115126352	-5.93782160923364	0.254390260024174	-23.3413873969443	1.68570152294992e-120	6.34038316459365e-118
ENSMUSG00000015468.14	463.305037212559	-5.99864913331993	0.258639380664153	-23.1931004393692	5.34507420547327e-119	1.97452768015403e-116
ENSMUSG00000005968.14	900.30355604381	-2.82740752283602	0.122163181823179	-23.1445144162048	1.65096481414394e-118	5.99184370354311e-116
ENSMUSG00000063011.7	8462.68360261364	-1.94803563555573	0.08418889752358	-23.1388662027569	1.88195706440383e-118	6.71242168815899e-116
ENSMUSG00000046410.10	439.962291920596	-4.26479263785918	0.185016599158988	-23.0508649345261	1.44181230582328e-117	5.05538494416377e-115
ENSMUSG00000041607.17	437.950546867432	-5.01676985738379	0.219178840714624	-22.888933261198	5.98881319356537e-116	2.06484297558811e-113
ENSMUSG00000024479.3	745.902810451162	-7.47907066316018	0.330497656756608	-22.629723721969	2.20983699239659e-113	7.49424555109972e-111
ENSMUSG00000018920.11	363.46704244677	-3.70241772029083	0.163949277166691	-22.5827023105841	6.41068901834381e-113	2.13899876971739e-110
ENSMUSG00000021118.7	399.461875613412	-5.28709006934195	0.235187403653667	-22.4803283985721	6.46593031991926e-112	2.12318572266936e-109
ENSMUSG00000030513.14	1227.63813208705	-2.47355495373087	0.110092748714237	-22.4679189376166	8.55049062698372e-112	2.76381249375644e-109
ENSMUSG00000042377.8	350.22973300309	-4.34396652310868	0.193529448296511	-22.4460233899555	1.39945437048617e-111	4.45392500957653e-109
ENSMUSG00000020435.17	376.581732500642	-4.64757169910381	0.207617261840821	-22.3852855870293	5.47536514985078e-111	1.71619513416611e-108
ENSMUSG00000084128.10	455.503537953501	-4.29450757548589	0.192031553268764	-22.363551730873	8.91298224001772e-111	2.75198303879472e-108
ENSMUSG00000002799.6	445.821716188367	-4.57608750071277	0.207289481563189	-22.0758306991945	5.396352485929e-108	1.64168152759431e-105
ENSMUSG00000026380.10	349.703760453515	-4.88235199884665	0.221704752369069	-22.0218644240835	1.77796588962826e-107	5.33054787807823e-105
ENSMUSG00000044017.16	438.263836649065	-6.25975542715604	0.286324020625461	-21.8624878677029	5.91319905246323e-106	1.74751926854724e-103
ENSMUSG00000068876.16	633.892989227572	-7.5667172188752	0.346690210065106	-21.8255866453634	1.32625059471096e-105	3.86424592292755e-103
ENSMUSG00000025813.14	498.501923155013	-3.09680741057705	0.142022049821261	-21.8051169834154	2.07475515357433e-105	5.96117498083223e-103
ENSMUSG00000024011.17	380.260871919874	-5.16743543226175	0.237081349859473	-21.7960435745987	2.52960507267129e-105	7.16848495045905e-103
ENSMUSG00000037411.10	7312.6067784615	2.11269669195148	0.0969565521907345	21.790138409577	2.87779629879073e-105	8.04499622068701e-103
ENSMUSG00000038732.15	746.6040777827	-2.98814242435671	0.138105098806619	-21.6367277542798	8.10553648284753e-104	2.23572310960889e-101
ENSMUSG00000026110.15	400.937200684607	-3.48235268884983	0.161194714714934	-21.6033924872055	1.66897233684644e-103	4.54289878057136e-101
ENSMUSG00000056724.15	627.342340010141	-3.20054563418055	0.148592078504781	-21.5391403524755	6.69374775295299e-103	1.79835791903037e-100
ENSMUSG00000044041.4	962.33315515624	-8.68925028157255	0.404121822203677	-21.5015616681872	1.50536295537906e-102	3.99249275101624e-100
ENSMUSG00000063727.3	1654.60770370465	2.42158278950005	0.112927140539631	21.443762570524	5.22165673336294e-102	1.36734699801366e-99
ENSMUSG00000033987.16	751.910133581667	-4.69047523310926	0.219341104057798	-21.3843878157615	1.86721093627516e-101	4.82837407984054e-99
ENSMUSG00000003526.12	343.81176287463	-4.92315045391302	0.230671650497274	-21.3426766717967	4.56075049234457e-101	1.16479315352015e-98
ENSMUSG00000033644.5	531.946362248031	-7.24116661838129	0.34158981571332	-21.1984265492811	9.87428427334052e-100	2.49108925320238e-97
ENSMUSG00000022665.15	15843.651590561	1.66576464534619	0.078681726634132	21.1709213384698	1.77062092670549e-99	4.41311266394657e-97
ENSMUSG00000003279.17	465.761974381565	-6.63010224287765	0.313342784670925	-21.1592625304605	2.26741054873541e-99	5.5840383359154e-97
ENSMUSG00000044646.15	626.11455140404	-3.28206106046969	0.156079619106632	-21.0281206428843	3.62737551254982e-98	8.82817849742565e-96
ENSMUSG00000022055.7	421.84201297395	-5.57588168985834	0.26546878269216	-21.0039072515889	6.04073285237799e-98	1.45307721531562e-95
ENSMUSG00000023043.7	431.345766814826	-6.15232259293216	0.293870287728366	-20.9355040296519	2.54360663259188e-97	6.04822878257795e-95
ENSMUSG00000041439.15	887.368570989517	-2.84971455749925	0.136150185378451	-20.9306696834677	2.81513634932143e-97	6.61780973391051e-95
ENSMUSG00000000308.14	361.174706277104	-6.06343178805302	0.292392051235238	-20.737334556249	1.59523736010509e-95	3.70794104140382e-93
ENSMUSG00000016028.11	379.498782282153	-6.33171651507831	0.305613445320402	-20.7180561327732	2.38105967268262e-95	5.47299793875394e-93
ENSMUSG00000057963.9	694.720489292436	-3.18856254234462	0.15441474956299	-20.6493392073528	9.89641592877892e-95	2.24974897053461e-92
ENSMUSG00000017861.11	452.354450551534	-3.31914261645065	0.161076898862889	-20.6059505731853	2.42707434520739e-94	5.45748771514188e-92
ENSMUSG00000029832.16	323.813998291853	-4.90322119576611	0.238211645199872	-20.5834655633735	3.86068824410904e-94	8.5877481404176e-92
ENSMUSG00000021678.9	343.249912800094	-4.20986104764656	0.204705860602576	-20.5654153489027	5.60182113576467e-94	1.23281780676132e-91
ENSMUSG00000024812.11	1849.15329670854	-2.05017214638473	0.0998625771604648	-20.5299342824931	1.1633208923713e-93	2.53238444378301e-91
ENSMUSG00000028179.12	527.644874319191	-3.04541415657609	0.14834374105527	-20.5294415181388	1.17517719632218e-93	2.53238444378301e-91
ENSMUSG00000030353.15	644.884112636381	-2.66392339259691	0.129784258133542	-20.5257820240098	1.26708254844635e-93	2.70228213192883e-91
